thisdir	thisf	uuid	device	date	config_scenario	config_profile	subject_id	session_number	session_started_at	session_ended_at	trial_number_session	trial_started_at	repetition	level_number	level_name	level_background	stage_number	objects_count	object1_name	object1_touch_diff_time	object2_name	object2_touch_diff_time	object3_name	object3_touch_diff_time	object4_name	object4_touch_diff_time	mandy_touch_diff_time	object_asked	object_asked_position	object_touched	object_touched_position	object_touched_at	stage_end	correct	feedback	spl	dif	lex
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	12	2016-03-23T09:02:31.836Z	0	6	Test_C1	mountain	2	2	ciseau	NA	velo	NA	NA	NA	NA	NA	643	ciseau	CENTER_LEFT	velo	CENTER_RIGHT	2118	touch_object	0	1	2	moderate	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	13	2016-03-23T09:02:40.887Z	0	6	Test_C1	mountain	3	2	sauter	NA	pleurer	NA	NA	NA	NA	NA	554	pleurer	CENTER_RIGHT	pleurer	CENTER_RIGHT	4043	touch_object	1	1	1	easy	verb
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	15	2016-03-23T09:03:12.690Z	0	8	Test_C2	mountain	1	2	riviere	NA	foret	NA	NA	NA	NA	NA	626	riviere	CENTER_LEFT	riviere	CENTER_LEFT	3019	touch_object	1	1	2	difficult	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	16	2016-03-23T09:03:22.656Z	0	8	Test_C2	mountain	2	2	telephoner	NA	coiffer	NA	NA	NA	NA	NA	580	coiffer	CENTER_RIGHT	telephoner	CENTER_LEFT	2885	touch_object	0	1	1	difficult	verb
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	17	2016-03-23T09:03:32.390Z	0	8	Test_C2	mountain	3	2	chat	NA	cochon	NA	NA	NA	NA	NA	4330	cochon	CENTER_RIGHT	cochon	CENTER_RIGHT	4634	touch_object	1	1	2	easy	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	18	2016-03-23T09:03:47.641Z	0	8	Test_C2	mountain	4	2	pingouin	NA	kangourou	NA	NA	NA	NA	NA	550	pingouin	CENTER_LEFT	kangourou	CENTER_RIGHT	5361	touch_object	0	1	1	difficult	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	20	2016-03-23T09:04:17.261Z	0	10	Test_C3	desert	1	2	debout	NA	assis	NA	NA	NA	NA	NA	577	assis	CENTER_RIGHT	assis	CENTER_RIGHT	3465	touch_object	1	1	2	easy	adj
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	21	2016-03-23T09:04:27.643Z	0	10	Test_C3	desert	2	2	groupe	NA	medecin	NA	NA	NA	NA	NA	558	medecin	CENTER_RIGHT	groupe	CENTER_LEFT	3804	touch_object	0	1	1	difficult	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	23	2016-03-23T09:05:08.772Z	0	12	Test_C4	desert	1	2	perroquet	NA	moustique	NA	NA	NA	NA	NA	1685	perroquet	CENTER_LEFT	moustique	CENTER_RIGHT	1710	touch_object	0	1	2	difficult	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	24	2016-03-23T09:05:18.463Z	0	12	Test_C4	desert	2	2	tete	NA	bouche	NA	NA	NA	NA	NA	777	tete	CENTER_LEFT	tete	CENTER_LEFT	1722	touch_object	1	1	1	easy	noun
