"thisdir"	"thisf"	"uuid"	"device"	"date"	"config_scenario"	"config_profile"	"subject_id"	"session_number"	"session_started_at"	"session_ended_at"	"trial_number_session"	"trial_started_at"	"repetition"	"level_number"	"level_name"	"level_background"	"stage_number"	"objects_count"	"object1_name"	"object1_touch_diff_time"	"object2_name"	"object2_touch_diff_time"	"object3_name"	"object3_touch_diff_time"	"object4_name"	"object4_touch_diff_time"	"mandy_touch_diff_time"	"object_asked"	"object_asked_position"	"object_touched"	"object_touched_position"	"object_touched_at"	"stage_end"	"correct"	"feedback"
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	23	"2016-03-23T08:49:35.383Z"	0	13	"Test_L4"	"desert"	1	2	"zop_02"	2489	"sop_01"	1519	NA	NA	NA	NA	1143	"zop_02"	"CENTER_LEFT"	"sop_01"	"CENTER_RIGHT"	3291	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	24	"2016-03-23T08:49:52.460Z"	0	14	"Test_C5"	"beach"	1	2	"propre"	NA	"sale"	NA	NA	NA	NA	NA	1195	"propre"	"CENTER_LEFT"	"propre"	"CENTER_LEFT"	4377	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	25	"2016-03-23T08:50:04.394Z"	0	14	"Test_C5"	"beach"	2	2	"chaussures"	NA	"lits"	NA	NA	NA	NA	NA	7267	"chaussures"	"CENTER_LEFT"	"lits"	"CENTER_RIGHT"	22262	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	26	"2016-03-23T08:50:40.196Z"	0	14	"Test_C5"	"beach"	3	2	"piedsnus"	NA	"jeune"	NA	NA	NA	NA	NA	740	"jeune"	"CENTER_RIGHT"	"jeune"	"CENTER_RIGHT"	1999	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	27	"2016-03-23T08:50:50.561Z"	0	15	"Test_L5"	"beach"	1	2	"zat_02"	1287	"sat_01"	1215	NA	NA	NA	NA	570	"sat_01"	"CENTER_RIGHT"	"sat_01"	"CENTER_RIGHT"	1838	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	28	"2016-03-23T08:51:03.800Z"	0	16	"Test_C6"	"beach"	1	2	"livre"	NA	"ballon"	NA	NA	NA	NA	NA	12443	"livre"	"CENTER_LEFT"	"ballon"	"CENTER_RIGHT"	11055	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	29	"2016-03-23T08:51:33.616Z"	0	16	"Test_C6"	"beach"	2	2	"serpent"	NA	"papillon"	NA	NA	NA	NA	NA	2223	"papillon"	"CENTER_RIGHT"	"papillon"	"CENTER_RIGHT"	1905	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	30	"2016-03-23T08:51:44.033Z"	0	16	"Test_C6"	"beach"	3	2	"couteau"	NA	"crayon"	NA	NA	NA	NA	NA	1120	"couteau"	"CENTER_LEFT"	"couteau"	"CENTER_LEFT"	2072	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	31	"2016-03-23T08:51:53.501Z"	0	16	"Test_C6"	"beach"	4	2	"rouge"	NA	"grand"	NA	NA	NA	NA	NA	740	"grand"	"CENTER_RIGHT"	"grand"	"CENTER_RIGHT"	8004	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	32	"2016-03-23T08:52:09.719Z"	0	17	"Test_L6"	"beach"	1	2	"sop_01"	1135	"zop_02"	1345	NA	NA	NA	NA	7408	"sop_01"	"CENTER_LEFT"	"zop_02"	"CENTER_RIGHT"	1974	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	33	"2016-03-23T08:52:30.198Z"	0	18	"Test_C7"	"countryside"	1	2	"avion"	NA	"camion"	NA	NA	NA	NA	NA	783	"avion"	"CENTER_LEFT"	"avion"	"CENTER_LEFT"	1573	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	34	"2016-03-23T08:52:38.853Z"	0	18	"Test_C7"	"countryside"	2	2	"cloche"	NA	"bougie"	NA	NA	NA	NA	NA	749	"bougie"	"CENTER_RIGHT"	"cloche"	"CENTER_LEFT"	2722	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	35	"2016-03-23T08:52:48.587Z"	0	18	"Test_C7"	"countryside"	3	2	"chien"	NA	"bebe"	NA	NA	NA	NA	NA	1006	"chien"	"CENTER_LEFT"	"chien"	"CENTER_LEFT"	1814	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	36	"2016-03-23T08:52:57.721Z"	0	18	"Test_C7"	"countryside"	4	2	"raye"	NA	"poilu"	NA	NA	NA	NA	NA	1572	"poilu"	"CENTER_RIGHT"	"poilu"	"CENTER_RIGHT"	11338	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	37	"2016-03-23T08:53:16.922Z"	0	18	"Test_C7"	"countryside"	5	2	"griffes"	NA	"plumes"	NA	NA	NA	NA	NA	1200	"plumes"	"CENTER_RIGHT"	"plumes"	"CENTER_RIGHT"	2329	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	38	"2016-03-23T08:53:27.676Z"	0	19	"Test_C8"	"mountain"	1	2	"croquer"	NA	"lancer"	NA	NA	NA	NA	NA	966	"croquer"	"CENTER_LEFT"	"lancer"	"CENTER_RIGHT"	10367	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	1	"2016-03-23T08:59:56.660Z"	1	1	"Training_C1"	"countryside"	1	2	"poisson"	NA	"lapin"	NA	NA	NA	NA	NA	15015	"poisson"	"CENTER_LEFT"	"lapin"	"CENTER_RIGHT"	4733	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	2	"2016-03-23T09:00:22.987Z"	1	1	"Training_C1"	"countryside"	1	2	"poisson"	NA	"lapin"	NA	NA	NA	NA	NA	1063	"poisson"	"CENTER_LEFT"	"lapin"	"CENTER_RIGHT"	1539	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	3	"2016-03-23T09:00:31.896Z"	0	1	"Training_C1"	"countryside"	1	2	"poisson"	NA	"lapin"	NA	NA	NA	NA	NA	1089	"poisson"	"CENTER_LEFT"	"poisson"	"CENTER_LEFT"	1717	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	4	"2016-03-23T09:00:43.020Z"	0	2	"Training_L1"	"countryside"	1	2	"syl_01"	1645	"zyl_02"	1759	NA	NA	NA	NA	931	"syl_01"	"CENTER_LEFT"	"syl_01"	"CENTER_LEFT"	1653	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	5	"2016-03-23T09:01:01.828Z"	1	3	"Training_C2"	"countryside"	1	2	"jaune"	NA	"petit"	NA	NA	NA	NA	NA	887	"petit"	"CENTER_RIGHT"	"jaune"	"CENTER_LEFT"	1949	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	6	"2016-03-23T09:01:10.965Z"	0	3	"Training_C2"	"countryside"	1	2	"jaune"	NA	"petit"	NA	NA	NA	NA	NA	408	"petit"	"CENTER_RIGHT"	"petit"	"CENTER_RIGHT"	1913	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	7	"2016-03-23T09:01:21.793Z"	0	4	"Training_L2"	"countryside"	1	2	"zyl_02"	1234	"syl_01"	1487	NA	NA	NA	NA	756	"syl_01"	"CENTER_RIGHT"	"syl_01"	"CENTER_RIGHT"	3062	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	8	"2016-03-23T09:01:35.650Z"	0	4	"Training_L2"	"countryside"	2	2	"syl_01"	1571	"zyl_02"	1301	NA	NA	NA	NA	823	"zyl_02"	"CENTER_RIGHT"	"zyl_02"	"CENTER_RIGHT"	3147	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	9	"2016-03-23T09:01:54.087Z"	1	5	"Training_C3"	"countryside"	1	2	"ouvrir"	NA	"manger"	NA	NA	NA	NA	NA	824	"manger"	"CENTER_RIGHT"	"ouvrir"	"CENTER_LEFT"	2445	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	10	"2016-03-23T09:02:03.685Z"	0	5	"Training_C3"	"countryside"	1	2	"ouvrir"	NA	"manger"	NA	NA	NA	NA	NA	468	"manger"	"CENTER_RIGHT"	"manger"	"CENTER_RIGHT"	10443	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	11	"2016-03-23T09:02:22.557Z"	0	6	"Test_C1"	"mountain"	1	2	"train"	NA	"bateau"	NA	NA	NA	NA	NA	680	"train"	"CENTER_LEFT"	"bateau"	"CENTER_RIGHT"	2255	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	12	"2016-03-23T09:02:31.836Z"	0	6	"Test_C1"	"mountain"	2	2	"ciseau"	NA	"velo"	NA	NA	NA	NA	NA	643	"ciseau"	"CENTER_LEFT"	"velo"	"CENTER_RIGHT"	2118	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	13	"2016-03-23T09:02:40.887Z"	0	6	"Test_C1"	"mountain"	3	2	"sauter"	NA	"pleurer"	NA	NA	NA	NA	NA	554	"pleurer"	"CENTER_RIGHT"	"pleurer"	"CENTER_RIGHT"	4043	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	14	"2016-03-23T09:02:52.895Z"	0	7	"Test_L1"	"mountain"	1	2	"zop_02"	2198	"sop_01"	6594	NA	NA	NA	NA	869	"zop_02"	"CENTER_LEFT"	"zop_02"	"CENTER_LEFT"	2088	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	15	"2016-03-23T09:03:12.690Z"	0	8	"Test_C2"	"mountain"	1	2	"riviere"	NA	"foret"	NA	NA	NA	NA	NA	626	"riviere"	"CENTER_LEFT"	"riviere"	"CENTER_LEFT"	3019	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	16	"2016-03-23T09:03:22.656Z"	0	8	"Test_C2"	"mountain"	2	2	"telephoner"	NA	"coiffer"	NA	NA	NA	NA	NA	580	"coiffer"	"CENTER_RIGHT"	"telephoner"	"CENTER_LEFT"	2885	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	17	"2016-03-23T09:03:32.390Z"	0	8	"Test_C2"	"mountain"	3	2	"chat"	NA	"cochon"	NA	NA	NA	NA	NA	4330	"cochon"	"CENTER_RIGHT"	"cochon"	"CENTER_RIGHT"	4634	"touch_object"	1	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	18	"2016-03-23T09:03:47.641Z"	0	8	"Test_C2"	"mountain"	4	2	"pingouin"	NA	"kangourou"	NA	NA	NA	NA	NA	550	"pingouin"	"CENTER_LEFT"	"kangourou"	"CENTER_RIGHT"	5361	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	19	"2016-03-23T09:04:01.223Z"	0	9	"Test_L2"	"mountain"	1	2	"zat_02"	2782	"sat_01"	963	NA	NA	NA	NA	681	"sat_01"	"CENTER_RIGHT"	"zat_02"	"CENTER_LEFT"	2908	"touch_object"	0	1
"dumeril"	"app_session_706.csv"	"22677C0688BA4808835AF58CD484CA39"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	7	1	"2016-03-23T08:59:55.000Z"	NA	20	"2016-03-23T09:04:17.261Z"	0	10	"Test_C3"	"desert"	1	2	"debout"	NA	"assis"	NA	NA	NA	NA	NA	577	"assis"	"CENTER_RIGHT"	"assis"	"CENTER_RIGHT"	3465	"touch_object"	1	1
