"Date"	"CSV"	"Anon"	"Remove"	"Comments"	"check"	"uuid"	"subject_id"	"session_started_at"	"config_profile"	"thisdir"	"thisf"	"date"
"06/04/2016"	"7ED2E4F5B317410B94C22C1EFC8BDF32"	"M2"	"yes"	"tested by parent"	""	"7ED2E4F5B317410B94C22C1EFC8BDF32"	2	"2016-04-06T07:31:49.000Z"	"Test_mix2_beg"	"massena"	"app_session_781.csv"	"06/04/2016"
"06/04/2016"	"ACAC570ED10F46E2894BCE21C76B765E"	"M20"	"no"	""	""	"ACAC570ED10F46E2894BCE21C76B765E"	206	"2016-04-06T08:24:32.000Z"	"Test_mix2_beg"	"massena"	"app_session_784.csv"	"06/04/2016"
"06/04/2016"	"3401B0C894F54D9E8488A377C0149527"	"M21"	"no"	""	""	"3401B0C894F54D9E8488A377C0149527"	205	"2016-04-06T08:10:53.000Z"	"Test_mix2_beg"	"massena"	"app_session_783.csv"	"06/04/2016"
"06/04/2016"	"ACE0A563BA7B4A47B827CFC08ABD664E"	"M23"	"no"	""	""	"ACE0A563BA7B4A47B827CFC08ABD664E"	107	"2016-04-06T07:54:48.000Z"	"Test_mix1_beg"	"massena"	"app_session_791.csv"	"06/04/2016"
"06/04/2016"	"ADA59D7777EC46BEB21BE8DA01EC3E39"	"M25"	"no"	""	""	"ADA59D7777EC46BEB21BE8DA01EC3E39"	208	"2016-04-06T08:56:20.000Z"	"Test_mix2_beg"	"massena"	"app_session_788.csv"	"06/04/2016"
"06/04/2016"	"8654D5A1A6214D01B4AFACEF3E0EFF54"	"M28"	"no"	""	""	"8654D5A1A6214D01B4AFACEF3E0EFF54"	2	"2016-04-06T07:54:53.000Z"	"Test_mix2_beg"	"massena"	"app_session_782.csv"	"06/04/2016"
"06/04/2016"	"194F043E9648446782EAAE4AB39F6B6A"	"M6"	"no"	""	""	"194F043E9648446782EAAE4AB39F6B6A"	209	"2016-04-06T09:15:46.000Z"	"Test_mix2_beg"	"massena"	"app_session_790.csv"	"06/04/2016"
"06/04/2016"	"4218C919A3CD4CAF8849EA38113D8427"	"M9"	"no"	""	""	"4218C919A3CD4CAF8849EA38113D8427"	110	"2016-04-06T08:56:05.000Z"	"Test_mix1_beg"	"massena"	"app_session_794.csv"	"06/04/2016"
"12/04/2016"	"0FEB560F4B184E628AE32D867855CC75"	"J13"	"no"	""	""	"0FEB560F4B184E628AE32D867855CC75"	113	"2016-04-12T07:47:54.000Z"	"Test_mix1_beg"	"fautrier"	"app_session_801.csv"	"12/04/2016"
"12/04/2016"	"60D28127B3094354B8321E3241724F35"	"J19"	"no"	""	""	"60D28127B3094354B8321E3241724F35"	210	"2016-04-12T07:27:31.000Z"	"Test_mix2_beg"	"fautrier"	"app_session_803.csv"	"12/04/2016"
"12/04/2016"	"B05643BF6B6841058073612CF4C3EBAC"	"J21"	"no"	""	""	"B05643BF6B6841058073612CF4C3EBAC"	212	"2016-04-12T07:58:18.000Z"	"Test_mix2_beg"	"fautrier"	"app_session_807.csv"	"12/04/2016"
"12/04/2016"	"2FCFC9E3BF284DEE9A1FF6E6F3146A1C"	"J22"	"no"	""	""	"2FCFC9E3BF284DEE9A1FF6E6F3146A1C"	112	"2016-04-12T07:29:33.000Z"	"Test_mix1_beg"	"fautrier"	"app_session_800.csv"	"12/04/2016"
"12/04/2016"	"7DB4CCB6BE49415C83CE0EBFCDC0C866"	"J6"	"no"	""	""	"7DB4CCB6BE49415C83CE0EBFCDC0C866"	211	"2016-04-12T07:43:23.000Z"	"Test_mix2_beg"	"fautrier"	"app_session_805.csv"	"12/04/2016"
