thisuuid	sum(data$uuid == thisuuid)	subject_id	config_profile	session_started_at	thisdir	thisf
6F1C62A43CB74AFF80A0D033D6C8D994	45	603	Espanol_Grupo1_imp	2016-04-28T01:58:40.000Z	cayetano	app_session_6F1C62A43CB74AFF80A0D033D6C8D994.csv
6FB2D95CDEF3499B81763971F20DF873	46	610	Espanol_Grupo2_imp	2016-05-06T14:04:44.000Z	cayetano	app_session_6FB2D95CDEF3499B81763971F20DF873.csv
760363264A144149A27B3F1B0B6206BE	49	507	Espanol_Grupo2_preg	2016-05-02T13:11:10.000Z	cayetano	app_session_760363264A144149A27B3F1B0B6206BE.csv
80606EB47A484F26892292B6C9FD2BAD	46	501	Espanol_Grupo1_preg	2016-04-27T12:56:27.000Z	cayetano	app_session_80606EB47A484F26892292B6C9FD2BAD.csv
850D0F1526B8492C8309B501440F70FC	45	702	Espanol_Grupo2_preg	2016-05-02T16:49:13.000Z	cayetano	app_session_850D0F1526B8492C8309B501440F70FC.csv
87FE406E9E694826B0B969BC12ABA34C	47	754	Espanol_Grupo1_preg	2016-04-27T18:15:43.000Z	cayetano	app_session_87FE406E9E694826B0B969BC12ABA34C.csv
88AAE0B80F524580851C7BD10B69C152	46	614	Espanol_Grupo2_preg	2016-05-06T18:28:52.000Z	cayetano	app_session_88AAE0B80F524580851C7BD10B69C152.csv
908026AF58BA418192FBFE580D80E4F1	45	604	Espanol_Grupo1_imp	2016-04-28T02:19:05.000Z	cayetano	app_session_908026AF58BA418192FBFE580D80E4F1.csv
99A34EFB6AE6438787D76D051168A614	45	701	Espanol_Grupo2_preg	2016-05-02T13:31:02.000Z	cayetano	app_session_99A34EFB6AE6438787D76D051168A614.csv
9D79FF3A0B764C4AAA21C104B2DA7719	48	602	Espanol_Grupo1_imp	2016-04-28T01:39:34.000Z	cayetano	app_session_9D79FF3A0B764C4AAA21C104B2DA7719.csv
9DD72751753D48049E5D0B90B71A2EE3	46	855	Espanol_Grupo2_imp	2016-04-28T16:40:42.000Z	cayetano	app_session_9DD72751753D48049E5D0B90B71A2EE3.csv
A4B42B7AFB1F41328DBA9D00D33B8B21	46	613	Espanol_Grupo2_preg	2016-05-06T16:59:28.000Z	cayetano	app_session_A4B42B7AFB1F41328DBA9D00D33B8B21.csv
A61200E6FEB7473BBB4D8C1E4F48A6FE	46	752	Espanol_Grupo1_preg	2016-04-27T17:36:59.000Z	cayetano	app_session_A61200E6FEB7473BBB4D8C1E4F48A6FE.csv
AA0AE42680D7435BB1AACE7600987186	48	600	Espanol_Grupo2_imp	2016-05-06T12:29:39.000Z	cayetano	app_session_AA0AE42680D7435BB1AACE7600987186.csv
B1813A38654B4EEFB09C62628E1CAF79	49	506	Espanol_Grupo1_preg	2016-04-27T14:16:01.000Z	cayetano	app_session_B1813A38654B4EEFB09C62628E1CAF79.csv
B22A93C0DF1B49BC8FF4AB506BBFB4CC	47	807	Espanol_Grupo2_preg	2016-04-28T16:56:02.000Z	cayetano	app_session_B22A93C0DF1B49BC8FF4AB506BBFB4CC.csv
BD775F67106A4C4A9855E400319B1271	45	851	Espanol_Grupo2_imp	2016-04-28T13:09:27.000Z	cayetano	app_session_BD775F67106A4C4A9855E400319B1271.csv
C35DBA49DA52421D897D023316253F81	45	608	Espanol_Grupo2_imp	2016-05-06T13:34:09.000Z	cayetano	app_session_C35DBA49DA52421D897D023316253F81.csv
C66A529DC5184208B771713A65FCB071	47	553	Espanol_Grupo1_imp	2016-04-27T21:04:17.000Z	cayetano	app_session_C66A529DC5184208B771713A65FCB071.csv
C6E9804A21EA40CD8C491CEA689B5833	49	601	Espanol_Grupo1_imp	2016-04-28T01:06:45.000Z	cayetano	app_session_C6E9804A21EA40CD8C491CEA689B5833.csv
