id	SES	date	profile	trials_completed	trials_attempted	pc	rt_corr	rt_incorr	pc_1	pc_2	rt_1	rt_2	propLeft	bias	N_easy	N_mod	N_diff	pc_easy	pc_mod	pc_diff	rt_easy	rt_mod	rt_diff	N_noun	N_adj	N_verb	pc_noun	pc_adj	pc_verb	rt_noun	rt_adj	rt_verb
760	NSB	2016-06-22	Espanol_Grupo1_imp	29	18	0.333333333333333	1784.5	2414	0.111111111111111	0.555555555555556	2615	2163	0.333333333333333	1	3	6	9	NA	0.333333333333333	0.333333333333333	NA	NA	NA	12	4	2	0.333333333333333	0.5	NA	1784.5	3619	NA
761	NSM	2016-06-22	Espanol_Grupo1_imp	29	8	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA
800	NSM	2016-08-18	Espanol_Grupo1_imp	41	29	0.689655172413793	3712.5	5902	0.6	0.785714285714286	4470	5407.5	0.517241379310345	0	9	10	10	0.888888888888889	0.7	0.5	3363	3620	4541	17	7	5	0.764705882352941	0.714285714285714	0.4	3675	5391	4391
801	NSM	2016-08-20	Espanol_Grupo1_imp	41	34	0.529411764705882	3281	2685	0.529411764705882	0.529411764705882	3067	2919	0.558823529411765	0	12	11	11	0.75	0.454545454545455	0.363636363636364	3067	4572	3589	20	5	9	0.4	0.8	0.666666666666667	2881	5312.5	4377.5
858	NSM	2016-08-19	Espanol_Grupo1_imp	41	38	0.921052631578947	2076	NA	0.947368421052632	0.894736842105263	2076	2117	0.526315789473684	0	14	13	11	0.928571428571429	0.846153846153846	1	2041	2229	2461	20	7	11	1	0.857142857142857	0.818181818181818	1908.5	2325.5	3137
859	NSM	2016-08-23	Espanol_Grupo1_imp	41	37	0.594594594594595	3212.5	3145	0.631578947368421	0.555555555555556	3382	2983.5	0.783783783783784	1	13	12	12	0.615384615384615	0.75	0.416666666666667	3212.5	3139	3239	21	7	9	0.619047619047619	0.857142857142857	0.333333333333333	3219	3189	2821
860	NSM	2016-08-26	Espanol_Grupo1_imp	41	24	0.791666666666667	4372	6048	0.916666666666667	0.666666666666667	4581	4516	0.541666666666667	0	10	8	6	0.9	0.625	0.833333333333333	3320	4544	4488	15	5	4	0.933333333333333	0.6	0.5	4043	3946	5260.5
861	NSB	2016-08-29	Espanol_Grupo1_imp	41	40	0.75	2345.5	2876.5	0.75	0.75	2187.5	2662.5	0.4	0	14	13	13	0.857142857142857	0.692307692307692	0.692307692307692	2497	2761	2027	22	8	10	0.818181818181818	0.5	0.8	1911.5	3212	3865
862	NSB	2016-08-29	Espanol_Grupo1_imp	41	26	0.461538461538462	3248	2083.5	0.384615384615385	0.538461538461538	2137	3320	0.5	0	8	10	8	0.625	0.3	0.5	3804	NA	3166	13	6	7	0.461538461538462	0.166666666666667	0.714285714285714	2470	6734	5442
863	NSB	2016-09-16	Espanol_Grupo1_imp	7	7	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA
864	NSM	2016-09-19	Espanol_Grupo1_imp	41	38	0.868421052631579	2467	3258	0.947368421052632	0.789473684210526	2880	2467	0.5	0	14	14	10	1	0.785714285714286	0.8	2497	2038	2237.5	20	7	11	1	0.714285714285714	0.727272727272727	2100.5	2589	3221.5
